Dates,ABI BB Equity,AD NA Equity,ADS GY Equity,AI FP Equity,AIR FP Equity,ALV GY Equity,AMS SQ Equity,ASML NA Equity,BAS GY Equity,BAYN GY Equity,BBVA SQ Equity,BMW GY Equity,BN FP Equity,BNP FP Equity,CRH ID Equity,CS FP Equity,DAI GY Equity,DG FP Equity,DPW GY Equity,DTE GY Equity,EL FP Equity,ENEL IM Equity,ENGI FP Equity,ENI IM Equity,FP FP Equity,FRE GY Equity,GLE FP Equity,IBE SQ Equity,INGA NA Equity,ISP IM Equity,ITX SQ Equity,KER FP Equity,LIN GY Equity,MC FP Equity,MUV2 GY Equity,NOKIA FH Equity,OR FP Equity,ORA FP Equity,PHIA NA Equity,SAF FP Equity,SAN FP Equity,SAN SQ Equity,SAP GY Equity,SIE GY Equity,SU FP Equity,TEF SQ Equity,UNA NA Equity,URW NA Equity,VIV FP Equity,VOW3 GY Equity
9/8/2000,#N/A N/A,37.6522,15.973,31.7283,19.05,355.02,#N/A N/A,43.4,20.95,41.021,16.2365,37.98,37.2726,49.9053,15.2637,39.5138,57.91,13.7452,#N/A N/A,44.65,15.225,7.84,#N/A N/A,12.982,44.0653,10.515,60.3686,3.2625,28.7954,4.3049,#N/A N/A,198.1,#N/A N/A,78.41,310.062,49.3,76.05,119.2372,53.2,54.1714,56.25,10.9401,57.25,114.507,39.5712,20.3039,17.3833,#N/A N/A,88.9353,29.949
9/15/2000,#N/A N/A,38.9299,15.25,31.1556,19.25,334.797,#N/A N/A,41.4,20.845,40.579,16.7649,36.74,37.4849,49.4231,14.8186,37.8605,54.99,14.4325,#N/A N/A,43.24,15,7.6126,#N/A N/A,12.592,44.5588,10.46,61.6905,3.1375,28.5958,4.0038,#N/A N/A,187.03,#N/A N/A,77.55,295.796,51.6,79.35,108.7975,54.95,52.1143,56.6,11.5086,50.275,116.219,40.3878,21.3657,17.1667,#N/A N/A,88.9837,29.223
9/22/2000,#N/A N/A,38.3945,14.325,30.2392,17.83,330.725,#N/A N/A,37.75,20.32,40.192,16.1404,37.3,37.9803,45.855,14.728,35.9002,52.96,13.917,#N/A N/A,38.65,14.88,7.736,#N/A N/A,12.71,41.7214,10.949,54.1996,3.37,27.7895,4.0338,#N/A N/A,189.87,#N/A N/A,76.2,313.391,47.47,86,99.2205,47.98,44.9143,57.5,11.4077,50.625,98.518,36.2303,20.1038,17.45,#N/A N/A,81.774,29.422
9/29/2000,#N/A N/A,39.1003,15.533,30.4454,19.85,337.819,#N/A N/A,37.6,20.135,38.855,16.4479,38.75,36.7065,48.1694,14.8681,34.9554,50.84,14.1747,#N/A N/A,38.97,13.95,7.7184,#N/A N/A,12,40.9072,11.735,55.8299,3.6,28.9797,4.1229,#N/A N/A,182.55,#N/A N/A,77.1,321.476,45.92,87.95,104.7424,48.77,41.4686,60.9,11.4077,55.533,94.319,35.3394,19.5381,17.8667,#N/A N/A,81.4837,31.3
10/6/2000,#N/A N/A,39.0638,14.98,31.1098,22.01,343.574,#N/A N/A,35.6,21.475,42.321,16.3518,39.4,36.6829,48.3623,14.7527,36.0655,51.31,13.5488,#N/A N/A,38.3,14.75,8.004,#N/A N/A,12.59,42.659,12.087,55.169,3.6525,29.6631,4.1323,#N/A N/A,175.59,#N/A N/A,75.84,322.313,44.22,81.05,99.2205,44.47,37.5771,61.2,11.3252,49.498,93.608,35.6363,20.243,18.95,#N/A N/A,86.1289,33.497
10/13/2000,#N/A N/A,39.5871,15.025,30.6516,20.45,333.439,#N/A N/A,33.11,20.355,41.298,15.0452,37.84,36.9896,43.9745,13.6401,36.2072,53.59,13.7452,#N/A N/A,37.59,13.5,7.8383,#N/A N/A,13.3,43.9419,11.599,49.0881,3.79,27.7204,4.2542,#N/A N/A,177.88,#N/A N/A,73.45,316.244,37.15,83.75,87.1415,44.15,35.1428,60.75,10.4265,47.775,96.251,32.6666,18.5634,19,#N/A N/A,82.1611,32.831
10/20/2000,#N/A N/A,39.9765,13.173,29.3229,21.33,342.036,#N/A N/A,32.21,20.275,43.335,15.7561,36.9,37.1547,44.8424,13.5577,35.9474,54.72,14.0152,#N/A N/A,38.3,14.2,7.6479,#N/A N/A,12.634,42.1902,11.815,51.9963,3.8375,29.2945,4.3724,#N/A N/A,184.38,#N/A N/A,73.36,322.902,45,84.6,92.8359,45.8,33.24,58.75,10.7292,44.875,92.607,37.6161,18.6678,19.4167,#N/A N/A,76.8386,31.509
10/27/2000,#N/A N/A,41.9966,13.038,28.9564,23.52,353.799,#N/A N/A,31.6,21.75,45.243,14.4591,38.23,38.5937,45.3246,14.6291,35.3097,51.3,14.4816,#N/A N/A,45.11,14.425,7.6496,#N/A N/A,12.82,41.0552,11.667,54.9487,3.6575,29.4404,4.3752,#N/A N/A,189.41,#N/A N/A,76.11,340.973,46.06,87.6,108.6249,46.02,35.28,61.5,10.3073,48.25,93.227,33.8793,20.2082,19.9833,#N/A N/A,78.1934,32.205
11/3/2000,#N/A N/A,41.7411,14.22,32.301,23.51,361.445,#N/A N/A,33.77,22.96,47.474,15.612,40,39.1599,48.9409,14.8351,38.4746,55.6,14.4816,#N/A N/A,41.23,14,7.5738,#N/A N/A,12.84,40.2164,12.304,58.8263,3.595,32.0167,4.6078,#N/A N/A,197.19,#N/A N/A,77.96,361.099,50.79,89.7,105.0875,47,37.2,63,10.9126,48.575,100.133,37.4429,19.6251,20.65,#N/A N/A,82.645,33.597
11/10/2000,#N/A N/A,42.2887,14.648,32.3697,24.18,367.489,#N/A N/A,26.84,21.845,46.027,14.7474,38.75,40.5753,47.6632,14.6291,37.6716,53.8,14.2361,#N/A N/A,38.95,15.65,7.6814,#N/A N/A,13.35,39.6242,13.389,55.7859,3.68,32.2509,4.6069,#N/A N/A,188.58,#N/A N/A,75.34,369.031,45.17,88.35,93.181,40.89,34.0457,66.3,10.2706,43.75,86.237,36.3293,18.0151,22.1,#N/A N/A,81.4837,33.169
11/17/2000,#N/A N/A,43.2014,15.4,32.9883,24.39,371.081,#N/A N/A,25.79,21.65,45.418,14.757,38.05,38.924,44.7701,14.423,38.8997,49.8,14.0397,#N/A N/A,39.29,16.95,7.6426,#N/A N/A,13.97,40.6358,13.009,58.562,3.725,32.3507,4.6603,#N/A N/A,186.3,#N/A N/A,72.55,367.795,47.9,90,93.2673,42.05,36.2228,68.05,10.289,38.988,85.049,36.1065,17.841,22.6667,#N/A N/A,79.8869,33.348
11/24/2000,#N/A N/A,43.2257,16.125,33.6526,23.09,361.399,#N/A N/A,25.09,21.825,45.28,15.0644,34.96,36.2818,43.9022,13.3104,38.7816,48.07,13.8679,22.48,40,16.5,7.6373,#N/A N/A,14.356,42.1408,12.358,56.6672,3.66,30.9877,4.7016,#N/A N/A,187.85,#N/A N/A,71.2,342.742,50,91.1,93.6124,41.7,22.9714,66.95,9.7479,35.305,87.924,34.9929,17.0316,22.3667,#N/A N/A,76.8386,31.708
12/1/2000,22.01,44.1141,16.125,34.4773,23.62,366.693,#N/A N/A,25.04,22.075,46.985,14.6513,33.43,36.3526,43.637,13.8461,37.1992,45.65,14.9725,22.6,37.34,16.75,7.5527,#N/A N/A,13.724,39.7229,11.49,55.4774,3.47,32.8191,4.7747,#N/A N/A,191.06,#N/A N/A,65.79,350.351,50.45,89.7,83.6903,41,22.3714,66.8,9.427,32.838,87.988,35.8838,16.17,23.4167,#N/A N/A,69.2902,32.553
12/8/2000,22.26,41.4733,17.113,34.4544,22.76,356.405,#N/A N/A,28.1,23.975,51.253,15.0356,35.31,33.8756,44.312,15.1236,36.2072,48.35,14.7515,23.61,36.98,16.22,7.1225,#N/A N/A,12.656,36.4661,11.269,58.5179,3.425,31.986,4.7588,#N/A N/A,195.9,#N/A N/A,66.24,328.457,56.3,86.05,83.3452,44.3,25.7143,61.35,9.8855,35.25,96.677,39.101,16.5878,21.6667,#N/A N/A,72.774,33.507
12/15/2000,22.19,40.4998,16.255,35.1187,20.45,334.797,#N/A N/A,24.81,23.05,48.387,14.8146,33.89,35.1495,45.2041,15.1895,34.0107,48.03,15.2179,22.3,36.56,16.59,7.0573,#N/A N/A,12.988,36.5155,11.767,56.4028,3.3375,30.6307,4.5196,#N/A N/A,197.37,#N/A N/A,62.95,335.742,51.51,83.6,84.8983,39.96,24.0514,61.85,9.7388,31,87.206,37.1212,16.0134,21,#N/A N/A,73.1128,30.038
12/22/2000,22.16,41.2421,15.8,35.4853,23.4,351.627,#N/A N/A,24.8,23.3,49.502,14.6032,32.99,37.2962,43.8781,15.684,35.4042,44,16.1506,22.66,32.88,16.8,7.3041,#N/A N/A,13.606,37.5024,11.274,56.0503,3.37,31.771,4.8957,#N/A N/A,201.3,#N/A N/A,60.83,339.071,46.4,87.7,80.7137,36.86,23.1429,66.5,9.8488,28.25,88.053,37.9131,15.4216,22.5333,#N/A N/A,67.7418,30.366
12/29/2000,23.21,41.8141,16.5,36.4016,23.66,360.676,#N/A N/A,24.19,24.085,51.502,15.2277,34.9,37.886,45.0835,16.3351,36.3725,44.74,16.077,23.05,32.1,17.375,7.2776,#N/A N/A,13.634,39.0814,11.816,58.3416,3.3375,32.6655,4.7747,#N/A N/A,209.45,#N/A N/A,63.54,362.43,47.5,91.3,79.3333,39.02,24.4114,71,10.454,30.573,89.926,38.4575,15.3172,22.5167,#N/A N/A,67.8386,31.509
1/5/2001,16.1,38.7839,17.038,36.1954,21.9,341.131,#N/A N/A,26.71,24.58,49.41,15.9002,37.69,34.1587,46.1202,16.4258,34.9082,46.5,16.2979,23.5,34.8,17.425,7.1913,#N/A N/A,13.312,37.9958,11.139,61.6905,3.5575,33.0917,4.907,#N/A N/A,201.21,#N/A N/A,59.53,341.449,46.5,81.3,80.1961,40.55,23.6229,62.4,10.8667,25,91.606,36.4035,16.9994,20.1667,#N/A N/A,68.4192,32.503
1/12/2001,17.29,37.9686,17.98,34.8668,22.25,325.142,#N/A N/A,29.49,23.085,47.732,16.2365,34.8,33.6869,48.6516,15.6346,33.7745,44.17,14.9725,22.15,37.14,15.8,6.9268,#N/A N/A,13.792,38.2919,10.331,64.731,3.6,31.8669,4.9164,#N/A N/A,213.2,#N/A N/A,60.83,331.89,43.86,82.4,81.9648,43.53,23.7429,56.05,11.0776,35,93.544,37.6161,17.9226,20.2,#N/A N/A,70.645,31.609
1/19/2001,16.82,38.8569,18.763,34.2711,23,317.595,#N/A N/A,30.57,22.125,46.764,16.4767,37,32.2715,46.4818,15.4862,33.3021,48.96,15.5861,22.27,38.75,16.32,6.8951,#N/A N/A,13.41,36.1454,11.41,61.8668,3.4675,30.1008,4.9248,#N/A N/A,212.74,#N/A N/A,65.34,317.671,43.1,78.6,82.0079,44.2,25.5428,57.25,10.7383,37.625,100.844,33.6565,18.4908,19.1333,#N/A N/A,75.2418,33.189
1/26/2001,17.32,39.5506,18.465,33.0341,23.13,324.527,#N/A N/A,29.55,22.86,48.221,16.2173,38.12,35.9752,46.8193,16.4423,34.9318,52.52,15.1688,22.2,35.1,16.005,7.2442,#N/A N/A,13.644,38.588,11.112,60.3686,3.5675,31.8285,4.9642,#N/A N/A,204.32,#N/A N/A,62.82,334.316,40.25,81.45,83.3884,40.04,21.7714,61.75,11.0043,39,99.81,36.9232,18.4641,19.65,#N/A N/A,77.4192,32.801
2/2/2001,18.73,40.3173,18,32.9883,23.31,330.734,#N/A N/A,28.7,24,48.949,16.054,37.95,33.0264,47.0122,16.5494,33.9162,49.25,15.4756,24.18,34.1,16.25,6.9568,#N/A N/A,13.836,38.6127,11.572,60.8974,3.675,31.2258,4.77,#N/A N/A,207.34,#N/A N/A,61.55,330.834,35.6,79.05,79.8941,39.3,21.2571,58.95,10.6283,40.375,98.454,35.2404,17.5764,20.4333,#N/A N/A,76.2095,32.255
2/9/2001,18.66,40.1956,18.258,33.9733,22.81,335.349,#N/A N/A,25.87,23.405,48.387,16.0251,38.5,34.5126,46.747,16.1538,33.0423,52.3,15.3406,23.58,31.31,16.15,6.8281,#N/A N/A,14.236,39.2048,11.491,60.7211,4.2,30.6575,4.6725,#N/A N/A,209.08,#N/A N/A,60.25,334.886,30.3,81.5,71.6976,36.43,22.5257,63,10.8025,36.443,92.413,35.5373,17.0349,20.7833,#N/A N/A,73.8386,32.95
2/16/2001,19.08,42.3861,19.238,35.0958,22.31,334.616,#N/A N/A,26.9,23.5,49.41,15.9579,38.6,34.6305,45.0353,15.923,32.4755,54.7,16.0033,23.3,26.5,15.975,6.7858,#N/A N/A,13.76,38.8841,12.087,58.5179,4.225,30.2122,4.6378,#N/A N/A,204.87,#N/A N/A,60.38,335.314,29.5,84.4,59.748,38.36,20.7257,63.1,10.83,36.95,92.123,34.3495,16.3514,21.05,#N/A N/A,69.9192,32.613
2/23/2001,19.07,42.4712,18.738,34.1566,22.25,321.767,#N/A N/A,23.4,23.29,47.502,15.2181,39.2,35.0551,42.2869,17.0357,30.3262,52.61,16.3715,23.7,24.55,16.5,6.583,#N/A N/A,13.446,38.0699,11.925,56.9756,4.065,28.4768,4.2861,#N/A N/A,200.66,#N/A N/A,59.08,325.898,23.58,80,55.2184,34.4,19.8,60.05,10.1423,31.603,78.169,34.4732,15.3749,20.4667,#N/A N/A,66.6289,33.199
3/2/2001,17.51,42.958,16.725,36.1725,22.05,322.129,#N/A N/A,22.08,24.27,48.718,15.3911,38.8,34.89,41.2502,16.8131,31.4599,52.95,16.077,22.65,27.59,16.625,6.5654,#N/A N/A,14.288,37.5024,11.87,57.6366,4.0075,28.7954,4.1698,#N/A N/A,188.13,#N/A N/A,57.72,331.519,26.2,79.85,53.8379,35.32,18.9429,59.5,10.1147,37.113,81.463,35.8591,16.9373,20.35,#N/A N/A,64.8386,35.684
3/9/2001,19.04,41.6194,16.525,36.6536,23.46,323.124,#N/A N/A,26,24.865,48.626,15.7561,39.27,33.9464,45.2764,16.376,31.389,55.78,16.5924,22.92,26.9,16.6,6.6535,#N/A N/A,14.552,37.8478,10.299,59.8398,3.9,29.5441,4.1623,#N/A N/A,189.41,#N/A N/A,55.74,335.019,25.86,80,56.4694,37.16,18.6,56.35,10.4357,38.075,81.399,38.0368,16.8595,20.45,#N/A N/A,68.7095,38.268
3/16/2001,19.22,41.7776,15.563,35.5082,22.8,289.264,#N/A N/A,23,22.975,45.953,14.853,35.17,31.9648,43.1066,15.3989,29.4996,51.25,16.1261,21.51,25.99,16.2,5.9219,#N/A N/A,14.17,37.7738,10.082,55.4334,4.045,26.1616,4.0076,#N/A N/A,176.14,#N/A N/A,50.06,304.546,27.37,77,54.787,32.26,16.5257,53.4,9.4453,31.995,73,34.3,16.3887,20,#N/A N/A,64.8386,33.298
