Dates,ABI BB Equity,AD NA Equity,ADS GY Equity,AI FP Equity,AIR FP Equity,ALV GY Equity,AMS SQ Equity,ASML NA Equity,BAS GY Equity,BAYN GY Equity,BBVA SQ Equity,BMW GY Equity,BN FP Equity,BNP FP Equity,CRH ID Equity,CS FP Equity,DAI GY Equity,DG FP Equity,DPW GY Equity,DTE GY Equity,EL FP Equity,ENEL IM Equity,ENGI FP Equity,ENI IM Equity,FP FP Equity,FRE GY Equity,GLE FP Equity,IBE SQ Equity,INGA NA Equity,ISP IM Equity,ITX SQ Equity,KER FP Equity,LIN GY Equity,MC FP Equity,MUV2 GY Equity,NOKIA FH Equity,OR FP Equity,ORA FP Equity,PHIA NA Equity,SAF FP Equity,SAN FP Equity,SAN SQ Equity,SAP GY Equity,SIE GY Equity,SU FP Equity,TEF SQ Equity,UNA NA Equity,URW NA Equity,VIV FP Equity,VOW3 GY Equity
4/30/2001,18.76,42.5929,17.098,38.8986,20.5,293.626,#N/A N/A,29.8,24.24,43.787,15.3911,37.4,34.5598,48.3141,17.1722,31.4127,56.44,16.1997,19.22,29.2,16.15,6.5037,#N/A N/A,15.45,41.45,9.838,64.07,4.1575,29.5518,3.9897,#N/A N/A,177.6,#N/A N/A,62.73,305.668,37.3,82.05,70.7485,33.11,15.7714,67.6,10.2706,44.625,80.643,38.0863,17.276,21.5167,#N/A N/A,75.5321,34.183
5/31/2001,18.26,43.6517,17.513,37.6616,23.22,298.783,#N/A N/A,27.25,23.75,43.04,15.4679,40.1,36.329,49.4231,18.5293,31.6488,53.96,16.8501,18.19,24.6,15.95,6.6201,#N/A N/A,15.168,42.4122,9.757,61.9109,3.825,29.5633,4.0882,3.67,187.58,#N/A N/A,60.38,307.494,34.18,76.5,56.0812,32.34,14.4686,72.5,10.3165,41.5,82.096,35.1414,15.7277,22.1667,#N/A N/A,72.8708,37.175
6/29/2001,19.76,45.0268,18.09,38.8757,21.75,311.949,#N/A N/A,26.49,23.3,42.727,14.6801,39.1,38.2398,49.5677,17.9141,31.7906,54.25,18.4701,18.9,26.92,16.9,6.3962,#N/A N/A,14.414,40.8085,10.949,61.6465,3.7875,29.6401,3.9213,3.77,156.47,#N/A N/A,53.62,313.106,26.77,76.25,48.5749,31.31,9.9429,77.5,9.8121,40.978,70.255,32.3202,13.1834,23.4,#N/A N/A,66.6289,36.171
7/31/2001,18.76,41.7898,19.3,36.8827,22.7,290.45,#N/A N/A,23.82,23.25,43.556,13.4408,40.4,35.1495,47.8801,17.6427,31.6016,56.72,17.9915,17.88,25.45,16.98,6.7761,#N/A N/A,13.951,40.1177,10.678,56.0503,3.755,28.5958,3.4007,3.676,154.55,#N/A N/A,54.52,311.489,25.15,82.95,45.4257,31.95,9.5743,71.8,9.2161,41.5,62.357,30.1919,12.6039,22.3,#N/A N/A,64.8386,35.276
8/31/2001,17.1,39.9887,18.64,35.6227,18.82,278.967,#N/A N/A,19.56,22.5,32.586,13.6425,35.35,35.3146,48.6998,16.7379,28.3895,47.95,17.1324,16.31,16.95,16.47,6.4252,#N/A N/A,14.647,40.1424,10.537,57.1078,3.77,26.6914,3.4373,3.85,135.61,#N/A N/A,48.17,300.171,17.23,74.6,30.4909,29.68,8.7686,72.05,9.1977,37.27,54.324,30.1919,11.5717,21.6833,#N/A N/A,58.2579,31.559
9/28/2001,17.44,37.1167,14.16,35.2791,11.85,224.404,#N/A N/A,12.22,19.435,28.982,10.8564,28.03,33.7341,43.2995,14.7475,20.4725,32.69,15.8315,16.5,17.2,15.275,5.6301,#N/A N/A,13.582,36.3921,9.702,48.2949,3.7375,22.5986,2.5276,3.7,110.81,#N/A N/A,31.45,268.689,17.95,75.7,29.8697,21.3,7.4486,71.5,7.7213,29,40.593,19.798,10.9922,19.9833,#N/A N/A,49.2096,26.211
10/31/2001,18.03,38.0416,15.675,34.3169,12.9,236.891,#N/A N/A,16,18.8,30.42,11.942,33.04,30.3135,44.5531,15.5889,22.9572,38.75,16.4452,15.96,17.19,15.545,5.5393,#N/A N/A,13.997,38.4893,8.446,48.9559,3.8175,21.2702,2.4375,4.14,117.03,#N/A N/A,35.3,279.151,23.23,76.7,35.7798,25.24,8.8714,73.25,7.8405,28.75,52.163,22.0153,12.0787,19.65,#N/A N/A,50.2257,28.229
11/30/2001,18.38,40.1591,17.785,36.31,13.34,238.873,#N/A N/A,19.7,21.45,33.582,13.2006,36,30.455,47.2533,16.7379,23.0517,46.56,15.3897,15.77,19.15,16.35,5.6451,#N/A N/A,13.058,35.1585,8.835,53.5826,3.585,22.422,2.5613,4.308,134.42,#N/A N/A,40.85,284.002,26.1,76.85,38.0489,30.5,10.5343,77.4,8.73,34.5,63.956,25.2919,13.6633,21.9667,#N/A N/A,55.3063,32.781
12/31/2001,19.22,39.7696,21.075,36.058,13.64,240.692,#N/A N/A,19.52,20.875,33.001,13.3543,39.15,32.3187,48.4587,17.9412,22.1731,48.35,16.1629,14.99,19.3,16.975,5.5702,#N/A N/A,14.051,39.5749,8.781,55.3893,3.655,21.992,2.6383,4.282,132.31,#N/A N/A,41.19,290.041,28.96,80.9,38.7391,33.38,11.7857,83.8,8.6292,36.575,72.048,26.7272,13.609,22.25,#N/A N/A,59.516,34.64
1/31/2002,18.76,36.2648,19.748,36.31,13,236.62,#N/A N/A,21.57,22.495,34.273,12.6818,42.85,31.611,52.0751,16.4755,20.2742,46.95,17.0097,14.91,17.15,17.775,5.8073,#N/A N/A,15.111,40.1917,8.293,60.2805,3.45,22.3452,2.8371,4.426,109.53,#N/A N/A,42.09,262.507,26.73,78.8,32.0698,31.58,12.1457,77.8,8.2715,40.5,66.427,25.9848,12.6066,21.6667,#N/A N/A,48.116,36.598
