Dates,ABI BB Equity,AD NA Equity,ADS GY Equity,AI FP Equity,AIR FP Equity,ALV GY Equity,AMS SQ Equity,ASML NA Equity,BAS GY Equity,BAYN GY Equity,BBVA SQ Equity,BMW GY Equity,BN FP Equity,BNP FP Equity,CRH ID Equity,CS FP Equity,DAI GY Equity,DG FP Equity,DPW GY Equity,DTE GY Equity,EL FP Equity,ENEL IM Equity,ENGI FP Equity,ENI IM Equity,FP FP Equity,FRE GY Equity,GLE FP Equity,IBE SQ Equity,INGA NA Equity,ISP IM Equity,ITX SQ Equity,KER FP Equity,LIN GY Equity,MC FP Equity,MUV2 GY Equity,NOKIA FH Equity,OR FP Equity,ORA FP Equity,PHIA NA Equity,SAF FP Equity,SAN FP Equity,SAN SQ Equity,SAP GY Equity,SIE GY Equity,SU FP Equity,TEF SQ Equity,UNA NA Equity,URW NA Equity,VIV FP Equity,VOW3 GY Equity
14/07/2000,#N/A N/A,36.3744,13.748,30.4683,17.98,355.246,#N/A N/A,48.8,21.825,39.177,14.7762,36.43,34.4418,48.6998,15.4945,36.8449,56.7,12.113,#N/A N/A,59.69,16.01,7.8718,#N/A N/A,11.768,40.7592,10.114,54.4639,3.275,27.3749,4.4315,#N/A N/A,201.3,#N/A N/A,80.93,318.052,58.8,84.8,133.5594,56.701,60.3428,48.75,10.3165,44.25,116.284,35.0919,22.1925,16.1833,#N/A N/A,85.1611,24.382
17/07/2000,#N/A N/A,36.0945,13.813,30.6058,17.61,365.562,#N/A N/A,50.3,21.945,39.777,14.6801,35.83,34.6777,49.4231,15.412,37.4118,56.43,12.113,#N/A N/A,60.68,16,7.863,#N/A N/A,11.676,40.4878,9.903,55.3893,3.225,27.1061,4.453,#N/A N/A,200.39,#N/A N/A,82.01,314.342,60.6,84.9,137.0969,57.7835,60.3428,48.65,10.1973,45.995,117.253,35.3394,22.1838,16.2333,#N/A N/A,85.3547,24.75
18/07/2000,#N/A N/A,36.35,14.46,30.5829,17.95,365.562,#N/A N/A,48.32,22.125,39.5,14.7474,36.5,34.5126,49.3749,15.4862,37.2464,57.65,11.7448,#N/A N/A,60.99,16.03,7.8594,#N/A N/A,11.586,40.2411,9.811,55.4334,3.205,27.0792,4.3095,#N/A N/A,198.47,#N/A N/A,80.84,311.964,59.85,80.75,132.7829,55.4124,60.6857,50.2,10.2248,44.59,116.284,35.2899,21.1568,16.0667,#N/A N/A,85.4998,26.092
19/07/2000,#N/A N/A,36.0823,14.625,30.4225,17.86,365.109,#N/A N/A,47.4,21.75,39.611,14.9491,35.8,34.0879,49.7606,15.4945,37.5535,59.92,11.2662,#N/A N/A,60.4,16.55,7.8824,#N/A N/A,11.712,39.6489,9.54,54.0233,3.165,27.1445,4.348,#N/A N/A,199.11,#N/A N/A,79.98,313.867,58.49,82.65,130.2809,55.5155,60.6857,49.25,10.2523,43.375,113.7,34.7949,21.4092,16.5667,#N/A N/A,86.516,26.738
20/07/2000,#N/A N/A,35.7781,14.713,30.56,17.99,371.081,#N/A N/A,48.4,21.93,40.284,15.122,37.98,33.8992,50.3392,15.4533,38.2148,60.26,11.7693,#N/A N/A,57.17,16.5,7.8824,#N/A N/A,11.87,40.093,9.567,54.1555,3.185,26.534,4.4333,#N/A N/A,208.17,#N/A N/A,82.55,321.476,58.49,80.75,127.2611,56.2887,58.7486,52.65,10.289,49.2,114.992,35.2156,21.6703,16.6667,#N/A N/A,87.9676,27.384
21/07/2000,#N/A N/A,35.6807,14.388,30.6974,18.1,366.467,#N/A N/A,47.15,21.95,39.823,14.9299,36.99,33.451,49.4713,15.412,37.5299,59.06,11.5116,#N/A N/A,55.27,16,7.8065,#N/A N/A,11.914,38.6127,9.431,53.847,3.1875,26.7836,4.4446,#N/A N/A,207.43,#N/A N/A,82.01,311.346,57.81,78,122.9472,55.4639,57.4286,52.05,10.2064,47.775,113.054,36.3788,21.3309,16.3333,#N/A N/A,88.0643,26.837
24/07/2000,#N/A N/A,35.5468,14.875,30.8578,18.34,371.443,#N/A N/A,45.4,22.315,40.422,14.9875,37.5,34.0644,49.2784,15.4945,37.7424,58,11.3668,#N/A N/A,48.79,15.96,7.8083,#N/A N/A,12.058,39.2295,9.214,53.847,3.175,27.5476,4.4559,#N/A N/A,209.81,#N/A N/A,82.46,318.717,58.85,81,121.9981,55.4124,58.5943,52.4,10.3348,48.5,116.743,36.1808,20.9567,16.5,#N/A N/A,87.8708,27.384
25/07/2000,#N/A N/A,35.7294,14.6,30.6974,18.1,376.022,#N/A N/A,46.2,22.35,41.39,15.0068,36.72,33.9228,49.9535,15.4697,36.963,56.2,11.3152,#N/A N/A,49.9,15.95,7.7924,#N/A N/A,12.082,38.2426,9.485,55.2571,3.1625,27.7665,4.4512,#N/A N/A,204.96,#N/A N/A,82.91,331.367,56.98,83.95,120.7902,53.6082,58.4571,53.5,10.2248,49.438,114.992,37.6409,20.4954,16.65,#N/A N/A,86.4192,26.837
26/07/2000,#N/A N/A,36.2162,14.625,30.6516,18.2,371.443,#N/A N/A,44.9,22.475,41.344,14.8819,37.1,33.7341,50.3874,15.5769,37.7897,57.2,11.5607,#N/A N/A,51.09,16.325,7.7907,#N/A N/A,11.968,38.514,9.431,57.3281,3.17,27.6513,4.4662,#N/A N/A,203.04,#N/A N/A,82.73,334.791,57.15,86.35,122.5158,52.8866,58.8686,54.4,10.3073,48.75,111.503,37.1707,20.6608,16.3833,#N/A N/A,86.0321,27.225
27/07/2000,#N/A N/A,36.3257,14.375,31.1556,18.24,369.181,#N/A N/A,41.71,22.16,40.45,14.8434,36.89,34.9136,50.2428,15.3131,38.7344,56.34,11.5607,#N/A N/A,49.44,16.3,7.7625,#N/A N/A,11.954,39.0321,9.133,58.1654,3.14,27.7588,4.3714,#N/A N/A,201.3,#N/A N/A,85.48,333.84,45,85.8,121.4804,49.6804,53.88,55.05,10.2798,47.5,108.241,36.7252,20.8435,16.65,#N/A N/A,85.9353,26.837
28/07/2000,#N/A N/A,36.204,14.473,30.8119,18.12,366.467,#N/A N/A,40,22.25,41.713,14.805,36.45,37.0367,50.725,15.2472,37.7897,56.8,11.4134,#N/A N/A,47.15,16.345,7.7872,#N/A N/A,12.016,39.0074,9.106,58.8704,3.115,27.6474,4.333,#N/A N/A,201.12,#N/A N/A,83.23,334.791,46.95,83.45,114.7507,47.9381,52.8,57.2,10.2156,46,104.914,37.4924,20.1038,16.5,#N/A N/A,83.7095,27.533
31/07/2000,#N/A N/A,35.8632,14.463,31.4992,18.1,361.951,#N/A N/A,41.75,22.35,41.593,14.9875,37,38.2398,51.3518,15.0412,38.7344,56.91,11.3373,#N/A N/A,47.01,16.035,7.796,#N/A N/A,12.046,39.4515,9.312,59.0467,3.1125,27.6974,4.4952,#N/A N/A,205.15,#N/A N/A,84.58,339.547,47.81,88.15,118.1156,50.3918,51.4286,57.55,10.1514,48.75,107.886,36.453,19.7557,16,#N/A N/A,83.4192,28.08
01/08/2000,#N/A N/A,36.7394,14.498,31.4305,17.99,355.554,#N/A N/A,41.8,22.37,41.574,14.9875,36.2,37.0367,51.2554,15.206,39.0414,56.7,11.2269,#N/A N/A,46.74,16.25,7.669,#N/A N/A,11.966,38.7607,9.757,59.7517,3.145,27.7319,4.4324,#N/A N/A,205.15,#N/A N/A,85.44,322.427,47.65,87.1,117.5116,50.5,51.48,58.55,10.1881,50.433,108.693,36.7252,19.8688,16.0333,#N/A N/A,82.8385,27.682
02/08/2000,#N/A N/A,37.8347,14.225,31.4076,17.85,353.527,#N/A N/A,41.15,22.05,41.62,15.0836,35.35,37.5085,52.0751,15.206,39.3721,57.81,11.2907,#N/A N/A,45.55,16.525,7.5879,#N/A N/A,12.33,38.9334,9.941,61.6465,3.225,27.755,4.454,#N/A N/A,204.69,#N/A N/A,86.52,309.682,45.8,88.75,115.4409,48.7,47.8286,56.75,10.2982,50,107.175,38.1111,19.9297,17.0333,#N/A N/A,83.2256,27.334
03/08/2000,#N/A N/A,38.0659,14.225,31.2701,17.8,355.138,#N/A N/A,36.75,22.375,41.759,15.0356,36.3,36.447,49.8088,15.1648,38.8289,57.1,11.3398,#N/A N/A,45.29,16.25,7.5262,#N/A N/A,12.406,39.7476,10,55.7418,3.3,27.3365,4.4287,#N/A N/A,199.11,#N/A N/A,84.35,311.964,42.8,87.2,113.3702,45.09,44.0571,54.7,10.2982,47.165,102.394,38.3585,19.1464,17.7167,#N/A N/A,79.645,27.841
04/08/2000,#N/A N/A,38.3823,13.75,31.5221,18,346.288,#N/A N/A,37.3,22.4,41.454,15.0836,36.4,35.8572,51.2071,15.0412,39.9626,57.22,11.4748,#N/A N/A,45.72,16.45,7.5915,#N/A N/A,12.324,40.1917,9.876,55.8299,3.2625,27.5131,4.4671,#N/A N/A,203.13,#N/A N/A,83.77,313.553,45.2,86.25,117.5979,46.22,49.0114,55.5,10.3348,47.525,101.949,38.2348,19.747,17.5,#N/A N/A,81.3385,28.13
07/08/2000,#N/A N/A,39.1003,13.575,31.8428,17.83,347.465,#N/A N/A,37.24,22.605,41.943,15.3718,36.7,35.8572,51.1589,15.173,39.8445,58.35,11.4625,#N/A N/A,46.36,16.4,7.5862,#N/A N/A,12.324,40.7592,10.335,58.0772,3.3125,27.778,4.6406,#N/A N/A,203.87,#N/A N/A,85.26,310.062,42.5,88.65,116.9939,46.3,47.9143,57.5,10.5366,48.75,104.978,37.6161,19.7121,17.9833,#N/A N/A,82.0644,28.776
08/08/2000,#N/A N/A,39.1003,13.675,32.0032,18.19,347.555,#N/A N/A,36.81,21.225,41.261,15.6889,36.6,36.0931,52.0751,14.8434,39.75,58.85,11.5214,#N/A N/A,44.74,15.8,7.535,#N/A N/A,12.442,40.8579,10.515,57.5925,3.3275,28.4115,4.6397,#N/A N/A,201.49,#N/A N/A,86.97,316.71,43.74,88.4,115.1821,46.55,47.1428,58,10.6099,49.378,107.401,37.8636,20.3649,17.9833,#N/A N/A,81.2902,29.571
09/08/2000,#N/A N/A,37.9686,13.828,31.4992,18.24,346.56,#N/A N/A,38.95,20.975,40.929,15.9099,37.4,35.9752,52.0751,14.7939,38.8525,61.2,11.5975,#N/A N/A,46.7,15.91,7.6302,#N/A N/A,12.358,41.1786,10.57,57.5044,3.3025,28.6994,4.5515,#N/A N/A,197.64,#N/A N/A,86.7,314.342,44.45,87.9,118.8921,49,49.32,57.05,10.7108,51,109.501,38.3585,20.8783,17.5667,#N/A N/A,82.3547,30.118
10/08/2000,#N/A N/A,38.577,13.673,31.4534,18,347.673,#N/A N/A,37.95,21.03,41.178,15.9002,37.2,36.8008,51.0625,14.8351,38.5691,62.39,11.8798,#N/A N/A,48.65,15.855,7.6126,#N/A N/A,12.176,41.2033,10.922,57.0197,3.3,28.5843,4.5628,#N/A N/A,197.19,#N/A N/A,86.92,319.573,44.8,85,119.1509,49.25,50.9143,57.45,10.6466,52.725,108.79,37.6904,21.7399,17.6667,#N/A N/A,82.8385,29.72
11/08/2000,#N/A N/A,38.3093,13.725,32.1177,18,354.468,#N/A N/A,37.5,20.955,42.22,15.9963,37.75,37.1547,51.0625,14.7115,38.7108,62.35,11.7988,#N/A N/A,48.35,16.115,7.6144,#N/A N/A,12.4,41.9928,11.112,57.2841,3.2875,28.4499,4.6547,#N/A N/A,197.64,#N/A N/A,86.11,329.56,44.7,84.2,118.5469,47.96,50.9143,56.5,10.8484,54.5,106.077,38.3091,21.3483,17.9833,#N/A N/A,83.1289,29.849
14/08/2000,#N/A N/A,38.1389,13.738,32.8737,18.07,351.989,#N/A N/A,39.4,21.085,42.376,16.102,37.1,37.5085,51.4482,14.7527,39.3721,62.1,11.7816,#N/A N/A,49.6,16.4,7.5985,#N/A N/A,12.452,41.5734,11.377,57.5925,3.3,28.4883,4.6922,#N/A N/A,197.37,#N/A N/A,86.25,318.717,46.18,84.55,120.4451,49.3,50.4,55,10.9034,53.8,106.917,38.3833,21.7747,17.7667,#N/A N/A,83.4676,29.581
15/08/2000,#N/A N/A,37.9564,13.723,32.6446,18.08,349.229,#N/A N/A,40.05,21.125,43.095,16.2845,36.65,37.9803,51.7375,14.8022,39.3721,61.5,12.0884,#N/A N/A,48.5,16.265,7.5985,#N/A N/A,12.452,42.8563,11.383,57.6807,3.2925,28.5113,4.6922,#N/A N/A,196.64,#N/A N/A,85.8,315.674,44.7,83.2,120.2725,50.05,49.9714,55,11.0593,53.873,106.755,38.507,21.5398,18.0667,#N/A N/A,83.516,29.621
16/08/2000,#N/A N/A,38.7961,13.85,32.8737,17.95,349.645,#N/A N/A,41.11,20.975,43.114,16.323,37.5,38.405,52.7019,14.9835,40.057,61.31,12.0516,#N/A N/A,46.95,16.25,7.6373,#N/A N/A,12.844,42.6836,11.589,58.5179,3.32,28.7302,4.8366,#N/A N/A,199.93,#N/A N/A,86.61,318.984,43.95,85.6,121.1353,51,50.9143,55.4,11.2885,54.475,106.594,38.1111,21.9662,17.75,#N/A N/A,82.4514,30.167
17/08/2000,#N/A N/A,38.9543,13.788,33.5381,17.6,347.917,#N/A N/A,42.44,20.69,42.441,16.2077,37.5,37.2726,52.2197,15.0412,39.4666,61.05,12.086,#N/A N/A,47.19,16.345,7.6831,#N/A N/A,12.916,43.0537,11.491,58.4738,3.265,28.6841,4.7907,#N/A N/A,196.64,#N/A N/A,85.17,313.867,43.85,84.6,117.339,51.95,49.7143,54.55,11.2702,53.928,107.175,37.5171,20.8,17.6167,#N/A N/A,81.2902,29.72
18/08/2000,#N/A N/A,38.6014,13.76,32.8966,17.53,343.565,#N/A N/A,44.08,20.83,42.975,16.5247,36.45,36.6829,51.9786,15.3296,39.3249,60.01,13.0579,#N/A N/A,46.03,16.2,7.8859,#N/A N/A,13.336,43.7199,11.112,57.24,3.3,28.8338,4.6772,#N/A N/A,192.24,#N/A N/A,83.45,307.97,45.8,81.9,111.2995,53.7,49.4228,53.75,11.527,54.05,109.772,37.4676,19.6947,17.5333,#N/A N/A,80.3708,29.551
21/08/2000,#N/A N/A,39.6723,13.688,32.5072,17.45,341.855,#N/A N/A,44.2,20.91,43.234,16.5343,36.34,37.3906,52.4608,15.3131,39.7972,60.05,13.0334,#N/A N/A,43.67,15.825,7.8771,#N/A N/A,13.156,43.6212,11.383,58.0772,3.3225,28.853,4.6828,#N/A N/A,191.42,#N/A N/A,80.89,306.809,45.99,81.9,109.0563,53.75,51.0857,54.9,11.3436,53.875,112.543,37.6161,19.834,17.8833,#N/A N/A,80.3224,29.332
22/08/2000,#N/A N/A,41.0718,13.738,31.9574,17.2,351.509,#N/A N/A,45.05,21.285,43.501,16.3518,37,37.5085,52.7983,15.3544,39.9862,60.75,13.8679,#N/A N/A,42.05,16.2,7.937,#N/A N/A,13.194,42.807,11.545,58.7823,3.3,29.0642,4.725,#N/A N/A,187.12,#N/A N/A,80.75,310.738,47.92,82.05,105.5189,53.75,49.7143,57.2,11.3436,53.25,113.118,38.1606,18.9028,18.1667,#N/A N/A,79.5482,29.919
23/08/2000,#N/A N/A,41.6802,13.713,31.9803,16.15,351.265,#N/A N/A,44.4,21.01,43.685,16.2845,36.8,37.0367,52.5572,15.4203,40.4113,61.1,14.2361,#N/A N/A,42.4,16.275,7.9758,#N/A N/A,13.668,43.6705,11.437,59.6195,3.3175,29.1717,4.7532,#N/A N/A,189.41,#N/A N/A,81.11,307.684,46.4,82.7,106.8993,52,49.2514,55.9,11.2885,53.475,111.891,39.7197,18.1717,18.0833,#N/A N/A,78.8708,30.664
24/08/2000,#N/A N/A,39.2098,13.688,32.0948,16.25,344.705,#N/A N/A,45.68,21.005,43.602,16.0444,37.25,36.1875,52.1715,15.5357,39.6083,60.25,13.7452,#N/A N/A,43.37,16.005,7.9599,#N/A N/A,13.114,42.4369,11.22,58.3857,3.3225,29.3713,4.6997,#N/A N/A,185.38,#N/A N/A,80.66,303.88,46.15,80.2,109.574,52.95,50.6571,55.75,10.9584,53.375,112.279,39.5217,18.2326,18.2167,#N/A N/A,78.5805,29.829
25/08/2000,#N/A N/A,39.3072,13.688,32.8966,18.05,348.18,#N/A N/A,43.6,21.095,44.874,16.2365,37.35,36.4706,51.834,15.4285,40.3877,60.64,13.9661,#N/A N/A,44.3,15.65,8.0375,#N/A N/A,13.032,42.5356,11.112,58.0332,3.325,28.8722,4.6284,#N/A N/A,187.58,#N/A N/A,82.42,302.453,46.3,82.55,113.8879,53.85,52.4571,58.7,11.0593,54.55,114.023,40.1404,18.6243,18,#N/A N/A,80.516,29.819
